Suburb,Rooms,Type,SellerG,Bedrooms,Bathroom,Garage,Landsize,YearBuilt,CouncilArea,Regionname,Price
Airport West,2,u,Barry,2,1,1,168,2011,Moonee Valley,Western Metropolitan,500000
Airport West,6,h,Barry,6,3,2,976,1980,Moonee Valley,Western Metropolitan,725000
Airport West,2,t,Barry,2,1,1,110,2015,Moonee Valley,Western Metropolitan,450000
Airport West,2,u,Barry,2,1,1,141,2013,Moonee Valley,Western Metropolitan,515000
Airport West,2,u,Nelson,2,1,1,120,2012,Moonee Valley,Western Metropolitan,530000
Airport West,3,h,Rendina,3,1,6,1063,1975,Moonee Valley,Western Metropolitan,895000
Airport West,3,u,Nelson,3,1,1,265,1993,Moonee Valley,Western Metropolitan,752000
Airport West,3,t,Brad,3,2,2,165,2009,Moonee Valley,Western Metropolitan,700000
Airport West,3,h,Barry,3,1,2,971,1960,Moonee Valley,Western Metropolitan,830000
Airport West,2,u,Barry,2,1,1,164,2003,Moonee Valley,Western Metropolitan,462500
Airport West,2,h,Barry,2,1,1,612,1975,Moonee Valley,Western Metropolitan,675000
Airport West,3,h,Nelson,3,2,5,612,1950,Moonee Valley,Western Metropolitan,1042000
Airport West,4,h,Brad,5,3,4,531,1980,Moonee Valley,Western Metropolitan,773000
Airport West,3,h,Barry,3,3,2,555,1980,Moonee Valley,Western Metropolitan,810000
Airport West,3,h,Rendina,3,2,2,422,1995,Moonee Valley,Western Metropolitan,715000
Airport West,3,t,Nelson,2,2,1,161,2010,Moonee Valley,Western Metropolitan,540000
Airport West,3,t,Barry,3,2,1,293,1960,Moonee Valley,Western Metropolitan,825000
Airport West,3,h,Barry,3,1,1,579,1975,Moonee Valley,Western Metropolitan,685000
Airport West,4,h,Harcourts,4,2,3,628,1975,Moonee Valley,Western Metropolitan,900000
Albert Park,2,h,hockingstuart,2,1,0,120,1900,Port Phillip,Southern Metropolitan,1275000
Albert Park,3,h,Buxton,3,2,0,211,1890,Port Phillip,Southern Metropolitan,2850000
Albert Park,3,h,Greg,3,2,0,128,1890,Port Phillip,Southern Metropolitan,1850000
Albert Park,2,h,RT,2,1,0,130,1900,Port Phillip,Southern Metropolitan,1436000
Albert Park,2,h,Marshall,1,1,0,147,1900,Port Phillip,Southern Metropolitan,1110000
Albert Park,4,h,Marshall,4,2,1,153,1880,Port Phillip,Southern Metropolitan,2300000
Albert Park,3,h,Greg,3,2,1,132,1996,Port Phillip,Southern Metropolitan,1800000
Albert Park,2,h,Greg,2,1,1,199,1900,Port Phillip,Southern Metropolitan,2120000
Albert Park,3,h,Marshall,3,2,1,90,1900,Port Phillip,Southern Metropolitan,1800000
Albert Park,3,h,Cayzer,3,2,1,177,1880,Port Phillip,Southern Metropolitan,2615000
Albert Park,2,h,Greg,2,1,0,149,1890,Port Phillip,Southern Metropolitan,1322500
Albert Park,2,h,Greg,2,1,0,141,1890,Port Phillip,Southern Metropolitan,1562500
Albert Park,3,h,RT,3,2,1,211,1900,Port Phillip,Southern Metropolitan,2000000
Albert Park,3,h,Greg,3,1,0,209,1900,Port Phillip,Southern Metropolitan,1900000
Albert Park,3,h,Greg,3,2,0,147,1890,Port Phillip,Southern Metropolitan,3010000
Albert Park,4,h,Cayzer,4,3,1,327,1910,Port Phillip,Southern Metropolitan,2800000
Albert Park,3,h,Marshall,2,1,1,120,1900,Port Phillip,Southern Metropolitan,2100000
Albert Park,3,h,Marshall,3,1,1,238,1890,Port Phillip,Southern Metropolitan,2000000
Albert Park,4,h,Marshall,4,2,1,330,1910,Port Phillip,Southern Metropolitan,4735000
Albert Park,4,h,Greg,3,2,1,183,1880,Port Phillip,Southern Metropolitan,2140000
Albert Park,2,h,Greg,2,1,0,79,1890,Port Phillip,Southern Metropolitan,980000
Albert Park,3,h,Marshall,3,2,2,147,1890,Port Phillip,Southern Metropolitan,1740000
Albert Park,1,h,Marshall,1,1,0,81,1900,Port Phillip,Southern Metropolitan,985000
Alphington,4,h,Brace,3,2,4,853,1930,Darebin,Northern Metropolitan,2000000
Alphington,3,h,Jellis,3,2,2,208,2013,Yarra,Northern Metropolitan,1110000
Alphington,4,h,Collins,4,2,1,599,1925,Darebin,Northern Metropolitan,1717500
Alphington,5,h,Nelson,5,4,4,809,1910,Darebin,Northern Metropolitan,2840000
Alphington,2,u,Miles,2,1,1,88,1960,Darebin,Northern Metropolitan,525500
Alphington,2,t,Miles,2,2,3,155,2004,Darebin,Northern Metropolitan,805000
Alphington,4,h,Nelson,4,2,2,606,1970,Darebin,Northern Metropolitan,1830000
Alphington,4,h,Nelson,4,2,2,575,2008,Darebin,Northern Metropolitan,2100000
Alphington,3,h,hockingstuart,3,1,1,180,2010,Darebin,Northern Metropolitan,865000
Alphington,4,h,McGrath,4,2,2,556,1930,Yarra,Northern Metropolitan,1900000
Alphington,4,h,Jellis,4,2,3,589,1920,Darebin,Northern Metropolitan,1950000
Altona,3,h,Greg,3,2,1,352,2015,Hobsons Bay,Western Metropolitan,520000
Altona,5,h,Greg,5,3,3,729,2005,Hobsons Bay,Western Metropolitan,1525000
Altona,2,t,hockingstuart,2,1,2,292,2013,Hobsons Bay,Western Metropolitan,720000
Altona,3,h,Barlow,3,1,2,506,1930,Hobsons Bay,Western Metropolitan,1120000
Altona,4,h,Greg,4,3,6,1057,1962,Hobsons Bay,Western Metropolitan,1780000
Altona,3,u,Barlow,2,1,2,311,1955,Hobsons Bay,Western Metropolitan,630000
Altona,3,h,Greg,3,1,1,602,1955,Hobsons Bay,Western Metropolitan,660000
Altona,2,u,Barlow,2,1,1,225,1988,Hobsons Bay,Western Metropolitan,580000
Altona,3,h,hockingstuart,3,1,4,777,1953,Hobsons Bay,Western Metropolitan,1335000
Altona,3,t,hockingstuart,3,2,2,280,1997,Hobsons Bay,Western Metropolitan,800000
Altona,2,u,Village,2,1,1,127,1990,Hobsons Bay,Western Metropolitan,510000
Altona,2,u,hockingstuart,2,1,2,115,1980,Hobsons Bay,Western Metropolitan,425000
Altona,4,h,hockingstuart,4,1,2,745,1950,Hobsons Bay,Western Metropolitan,845000
Altona,3,u,Barlow,3,2,1,69,2014,Hobsons Bay,Western Metropolitan,730000
Altona,3,h,Sweeney,3,1,4,625,1960,Hobsons Bay,Western Metropolitan,635000
Altona,2,u,Burnham,2,1,1,137,1990,Hobsons Bay,Western Metropolitan,447000
Altona,3,h,hockingstuart,3,1,2,606,1950,Hobsons Bay,Western Metropolitan,678000
Altona,2,u,Biggin,2,2,1,175,2013,Hobsons Bay,Western Metropolitan,580000
Altona,3,h,Greg,3,2,2,534,1965,Hobsons Bay,Western Metropolitan,840000
Altona,3,u,Williams,3,2,1,205,2007,Hobsons Bay,Western Metropolitan,577000
Altona,2,h,hockingstuart,2,2,1,675,1950,Hobsons Bay,Western Metropolitan,857000
Altona,3,u,Barlow,3,2,1,70,2014,Hobsons Bay,Western Metropolitan,730000
Altona,4,h,Sweeney,4,2,3,532,1970,Hobsons Bay,Western Metropolitan,931000
Altona,2,h,Compton,2,1,1,154,1996,Hobsons Bay,Western Metropolitan,535600
Altona North,5,h,FN,5,3,6,592,1965,Hobsons Bay,Western Metropolitan,1085000
Altona North,3,h,Jas,3,1,2,533,1970,Hobsons Bay,Western Metropolitan,781000
Altona North,2,t,hockingstuart,2,1,1,77,2009,Hobsons Bay,Western Metropolitan,421000
Altona North,3,h,FN,3,1,2,534,1967,Hobsons Bay,Western Metropolitan,683000
Altona North,3,h,Williams,3,1,1,328,1970,Hobsons Bay,Western Metropolitan,588000
Altona North,3,h,Village,3,1,3,540,1960,Hobsons Bay,Western Metropolitan,710000
Altona North,4,h,Jas,3,1,4,559,1965,Hobsons Bay,Western Metropolitan,875000
Altona North,2,t,Williams,2,1,1,252,1965,Hobsons Bay,Western Metropolitan,640000
Altona North,3,h,hockingstuart,3,2,2,171,2012,Hobsons Bay,Western Metropolitan,675000
Altona North,3,h,Greg,3,1,2,585,1960,Hobsons Bay,Western Metropolitan,708000
Altona North,4,h,Raine&Horne,4,2,4,315,2008,Hobsons Bay,Western Metropolitan,693000
Altona North,3,h,Hunter,5,2,2,276,2010,Hobsons Bay,Western Metropolitan,620000
Altona North,3,h,Jas,3,1,1,531,1960,Hobsons Bay,Western Metropolitan,728500
Altona North,3,h,hockingstuart,3,2,1,590,1950,Hobsons Bay,Western Metropolitan,931000
Altona North,3,h,Sweeney,3,1,4,715,2008,Hobsons Bay,Western Metropolitan,988000
Altona North,3,h,hockingstuart,3,2,3,555,1960,Hobsons Bay,Western Metropolitan,815000
Altona North,4,h,RT,4,1,4,633,1960,Hobsons Bay,Western Metropolitan,1200000
Altona North,2,u,Jas,2,1,1,153,1970,Hobsons Bay,Western Metropolitan,292000
Armadale,3,t,Jellis,3,2,2,101,2000,Stonnington,Southern Metropolitan,1205000
Armadale,3,h,Jellis,3,2,2,296,1889,Stonnington,Southern Metropolitan,1939000
Armadale,3,h,Hodges,3,1,1,217,1888,Stonnington,Southern Metropolitan,1870000
Armadale,3,h,Marshall,3,2,1,205,1910,Stonnington,Southern Metropolitan,2050000
Armadale,4,h,Jellis,4,2,2,1581,1934,Stonnington,Southern Metropolitan,3000000
Armadale,3,u,Marshall,3,2,1,2113,1970,Stonnington,Southern Metropolitan,735000
Armadale,1,h,Jellis,2,2,1,144,1900,Stonnington,Southern Metropolitan,1435000
Armadale,2,h,Marshall,2,1,0,249,1910,Stonnington,Southern Metropolitan,1210000
Armadale,4,h,Marshall,4,2,2,624,1900,Stonnington,Southern Metropolitan,2801000
Armadale,3,h,RT,3,2,2,405,1910,Stonnington,Southern Metropolitan,1800000
Armadale,4,h,Jellis,4,1,2,495,1900,Stonnington,Southern Metropolitan,2200000
Armadale,6,h,Marshall,5,3,4,1491,1935,Stonnington,Southern Metropolitan,5525000
Armadale,3,h,Jellis,2,1,2,212,1900,Stonnington,Southern Metropolitan,1300000
Armadale,3,h,Marshall,3,1,2,328,1900,Stonnington,Southern Metropolitan,1900000
Armadale,2,u,Jellis,2,1,1,2471,1970,Stonnington,Southern Metropolitan,710000
Armadale,2,u,Jellis,2,1,1,1194,1953,Stonnington,Southern Metropolitan,872000
Armadale,3,h,Marshall,3,1,2,186,1920,Stonnington,Southern Metropolitan,1285000
Armadale,4,h,Jellis,4,1,2,709,1900,Stonnington,Southern Metropolitan,3625000
Armadale,4,h,Kay,4,3,3,563,2000,Stonnington,Southern Metropolitan,4200000
Armadale,3,t,Jellis,3,1,2,103,2000,Stonnington,Southern Metropolitan,1101000
Armadale,3,h,Marshall,3,2,2,617,1998,Stonnington,Southern Metropolitan,3512500
Ascot Vale,3,h,Nelson,3,1,2,298,1920,Moonee Valley,Western Metropolitan,940000
Ascot Vale,3,h,Nelson,3,2,2,277,1910,Moonee Valley,Western Metropolitan,1380000
Ascot Vale,2,u,Jellis,2,1,1,423,1970,Moonee Valley,Western Metropolitan,490000
Ascot Vale,4,h,Brad,4,3,1,478,1900,Moonee Valley,Western Metropolitan,1850000
Ascot Vale,3,h,Woodards,3,1,2,623,1938,Moonee Valley,Western Metropolitan,1284000
Ascot Vale,3,h,Nelson,3,2,2,285,1900,Moonee Valley,Western Metropolitan,971000
Ascot Vale,2,h,Nelson,2,1,1,214,1890,Moonee Valley,Western Metropolitan,710000
Ascot Vale,6,h,Brad,6,3,2,1014,1887,Moonee Valley,Western Metropolitan,2425000
Ascot Vale,2,h,Maddison,2,1,1,226,1920,Moonee Valley,Western Metropolitan,750000
Ascot Vale,2,h,Nelson,2,1,1,269,1900,Moonee Valley,Western Metropolitan,1053000
Ascot Vale,3,h,Nelson,3,1,1,417,1900,Moonee Valley,Western Metropolitan,1377000
Ascot Vale,3,h,Brad,3,1,2,350,1904,Moonee Valley,Western Metropolitan,970000
Ascot Vale,2,h,Nelson,2,1,1,118,1890,Moonee Valley,Western Metropolitan,751000
Ascot Vale,2,h,Raine,2,1,1,173,1900,Moonee Valley,Western Metropolitan,950000
Ascot Vale,2,u,Brad,2,1,2,228,1995,Moonee Valley,Western Metropolitan,685000
Ascot Vale,3,h,Nelson,4,1,2,594,1960,Moonee Valley,Western Metropolitan,1230000
Ascot Vale,2,h,Nelson,2,1,1,226,1900,Moonee Valley,Western Metropolitan,770000
Ascot Vale,3,h,Walshe,3,2,2,229,2011,Moonee Valley,Western Metropolitan,960000
Ascot Vale,4,h,Raine,4,1,1,300,1890,Moonee Valley,Western Metropolitan,890000
Ascot Vale,3,h,Nelson,3,1,1,487,1900,Moonee Valley,Western Metropolitan,1440000
Ascot Vale,3,h,Jellis,3,1,2,431,1950,Moonee Valley,Western Metropolitan,801000
Ascot Vale,3,h,Brad,3,2,2,440,1955,Moonee Valley,Western Metropolitan,1000000
Ascot Vale,3,h,Nelson,3,2,2,532,1950,Moonee Valley,Western Metropolitan,1435000
Ascot Vale,3,h,Jellis,3,2,2,495,1920,Moonee Valley,Western Metropolitan,1425000
Ascot Vale,4,h,Nelson,3,2,2,683,1978,Moonee Valley,Western Metropolitan,1340000
Ascot Vale,3,h,Brad,3,1,1,263,1910,Moonee Valley,Western Metropolitan,955000
Ascot Vale,4,h,Nelson,4,2,5,559,1920,Moonee Valley,Western Metropolitan,1100000
Ascot Vale,4,h,Raine,4,3,2,562,1890,Moonee Valley,Western Metropolitan,1640000
Ascot Vale,6,h,Nelson,4,2,1,461,1900,Moonee Valley,Western Metropolitan,1430000
Ascot Vale,2,u,Brad,2,1,1,301,1995,Moonee Valley,Western Metropolitan,610000
Ascot Vale,3,h,Nelson,3,3,1,491,1950,Moonee Valley,Western Metropolitan,940000
Ascot Vale,3,h,Brad,3,1,1,242,1920,Moonee Valley,Western Metropolitan,890000
Ascot Vale,3,h,Brad,3,2,2,617,1930,Moonee Valley,Western Metropolitan,1180000
Ascot Vale,4,h,Raine,4,2,2,597,1939,Moonee Valley,Western Metropolitan,1480000
Ascot Vale,2,t,Nelson,2,2,1,146,2015,Moonee Valley,Western Metropolitan,865000
Ascot Vale,2,t,Brad,2,2,1,113,1998,Moonee Valley,Western Metropolitan,705000
Ascot Vale,3,h,Alexkarbon,3,1,2,506,1920,Moonee Valley,Western Metropolitan,1037500
Ascot Vale,3,t,Jellis,3,2,2,318,2013,Moonee Valley,Western Metropolitan,1050000
Ascot Vale,4,h,Nelson,4,2,0,418,1900,Moonee Valley,Western Metropolitan,1430000
Ascot Vale,3,h,Nelson,3,2,1,272,1900,Moonee Valley,Western Metropolitan,1130000
Ascot Vale,3,h,Brad,3,1,1,296,1910,Moonee Valley,Western Metropolitan,1135000
Ascot Vale,4,h,Nelson,4,2,1,298,1920,Moonee Valley,Western Metropolitan,950000
Ascot Vale,2,u,Jellis,2,1,1,1957,2012,Moonee Valley,Western Metropolitan,390000
Ascot Vale,4,h,Jellis,4,1,1,552,1920,Moonee Valley,Western Metropolitan,1345000
Ascot Vale,3,h,Barry,3,2,2,416,1900,Moonee Valley,Western Metropolitan,1381500
Ascot Vale,3,h,Jellis,3,2,2,285,2011,Moonee Valley,Western Metropolitan,940000
Ascot Vale,3,h,Nelson,3,2,1,314,2010,Moonee Valley,Western Metropolitan,995000
Ascot Vale,3,h,Brad,3,2,1,576,1940,Moonee Valley,Western Metropolitan,786000
Ascot Vale,2,h,Nelson,2,1,3,252,1910,Moonee Valley,Western Metropolitan,705000
Ascot Vale,2,h,Nelson,2,1,1,124,1900,Moonee Valley,Western Metropolitan,760000
Ascot Vale,3,t,Nelson,3,2,2,200,2003,Moonee Valley,Western Metropolitan,1000000
Ascot Vale,4,h,Nelson,4,2,1,349,1920,Moonee Valley,Western Metropolitan,1110000
Ascot Vale,3,h,Barry,2,1,1,278,1900,Moonee Valley,Western Metropolitan,1305000
Ascot Vale,3,h,Stockdale,3,1,1,452,1960,Moonee Valley,Western Metropolitan,1215000
Ascot Vale,2,u,Nelson,2,1,2,194,1900,Moonee Valley,Western Metropolitan,545000
Ascot Vale,4,h,Jellis,4,2,4,598,2012,Moonee Valley,Western Metropolitan,1705000
Ashburton,4,h,Marshall,4,3,2,753,2015,Boroondara,Southern Metropolitan,2650000
Ashburton,3,h,Jellis,3,2,2,599,1930,Boroondara,Southern Metropolitan,1670000
Ashburton,3,t,Fletchers,3,3,4,310,2014,Boroondara,Southern Metropolitan,2050000
Ashburton,2,u,Fletchers,2,1,1,710,2010,Boroondara,Southern Metropolitan,500000
Ashburton,3,h,Jellis,3,2,2,731,1935,Boroondara,Southern Metropolitan,1555000
Ashburton,3,h,Marshall,3,3,2,276,2004,Boroondara,Southern Metropolitan,1100000
Ashburton,3,h,Buxton,3,1,2,583,1950,Boroondara,Southern Metropolitan,1337000
Ashburton,8,h,hockingstuart,9,7,4,1472,2009,Boroondara,Southern Metropolitan,2950000
Ashburton,4,h,Marshall,4,2,1,681,1940,Boroondara,Southern Metropolitan,2215000
Ashburton,3,h,Jellis,3,2,2,516,1920,Boroondara,Southern Metropolitan,1518000
Ashburton,3,h,hockingstuart,3,1,2,806,1950,Boroondara,Southern Metropolitan,1710000
Ashburton,3,h,Jellis,3,1,3,780,1940,Boroondara,Southern Metropolitan,1655000
Ashburton,4,h,Marshall,4,2,2,780,1938,Boroondara,Southern Metropolitan,1550000
Ashburton,3,h,Jellis,3,2,2,351,2006,Boroondara,Southern Metropolitan,1662000
Ashburton,3,h,Jellis,3,2,3,702,1945,Boroondara,Southern Metropolitan,1665000
Ashburton,5,h,Jellis,5,5,2,755,2015,Boroondara,Southern Metropolitan,3510000
Ashburton,3,t,Jellis,3,2,2,153,1990,Boroondara,Southern Metropolitan,900000
Ashburton,5,h,Jellis,6,4,2,1075,2010,Boroondara,Southern Metropolitan,2752000
Ashburton,3,h,Jellis,3,2,2,710,1945,Boroondara,Southern Metropolitan,1500000
Ashburton,4,h,Jellis,4,2,4,749,1950,Boroondara,Southern Metropolitan,1800000
Ashburton,3,h,Jellis,3,2,3,724,1940,Boroondara,Southern Metropolitan,1830000
Ashburton,3,h,Buxton,3,1,1,605,1950,Boroondara,Southern Metropolitan,1415000
Ashburton,2,h,Jellis,2,1,1,687,1940,Boroondara,Southern Metropolitan,1440000
Ashburton,4,t,Noel,4,2,2,321,2007,Boroondara,Southern Metropolitan,1250000
Ashburton,5,h,Marshall,5,3,4,700,1950,Boroondara,Southern Metropolitan,1600000
Ashburton,4,h,Jellis,4,2,3,696,2000,Boroondara,Southern Metropolitan,1860000
Ashburton,3,t,Marshall,3,2,2,295,1990,Boroondara,Southern Metropolitan,1710000
Ashburton,4,h,hockingstuart,4,2,2,514,1935,Boroondara,Southern Metropolitan,1790000
Ashburton,4,h,Tim,4,2,2,844,1940,Boroondara,Southern Metropolitan,1950000
Ashburton,3,h,Marshall,3,1,1,697,1947,Boroondara,Southern Metropolitan,1650000
Ashwood,2,h,Tim,2,1,1,583,1950,Monash,Southern Metropolitan,995000
Ashwood,4,h,Purplebricks,4,3,2,372,2016,Monash,Southern Metropolitan,1200000
Ashwood,2,h,Jellis,2,1,2,695,1950,Monash,Southern Metropolitan,1075000
Ashwood,4,h,Fletchers,2,2,2,621,2000,Monash,Southern Metropolitan,1500000
Ashwood,2,t,hockingstuart,2,1,2,367,1970,Monash,Southern Metropolitan,700000
Ashwood,3,h,Fletchers,3,2,4,400,1950,Monash,Southern Metropolitan,761000
Ashwood,3,h,Fletchers,3,1,1,792,1950,Monash,Southern Metropolitan,1365000
Ashwood,4,h,Tim,3,2,2,803,1970,Monash,Southern Metropolitan,1100000
Ashwood,2,u,Ray,2,1,1,216,2003,Monash,Southern Metropolitan,690000
Ashwood,3,h,Jellis,3,2,3,782,1950,Monash,Southern Metropolitan,1631000
Ashwood,4,h,Buxton,4,2,1,593,1930,Monash,Southern Metropolitan,1500000
Ashwood,5,h,Buxton,5,3,2,585,2000,Monash,Southern Metropolitan,1529500
Ashwood,2,u,Noel,2,1,1,153,1970,Monash,Southern Metropolitan,600000
Ashwood,3,h,Buxton,3,1,1,557,1960,Monash,Southern Metropolitan,785000
Ashwood,4,h,Tim,4,2,2,766,1950,Monash,Southern Metropolitan,1240000
Ashwood,2,u,hockingstuart,2,1,2,192,2007,Monash,Southern Metropolitan,700000
Ashwood,2,h,Fletchers,2,1,1,586,1950,Monash,Southern Metropolitan,1110000
Ashwood,3,h,Jellis,3,1,1,760,1960,Monash,Southern Metropolitan,1305000
Ashwood,3,h,Noel,3,2,1,320,1958,Monash,Southern Metropolitan,855000
Ashwood,3,t,Jellis,3,2,2,256,2012,Monash,Southern Metropolitan,900500
Ashwood,3,h,Buxton,3,2,2,839,1970,Monash,Southern Metropolitan,1200000
Ashwood,3,t,Barry,2,1,2,212,2012,Monash,Southern Metropolitan,830000
Avondale Heights,3,h,Moonee,3,1,1,593,1970,Moonee Valley,Western Metropolitan,850000
Avondale Heights,3,t,Nelson,3,3,1,557,2017,Moonee Valley,Western Metropolitan,851000
Avondale Heights,4,h,Moonee,4,2,1,350,2008,Moonee Valley,Western Metropolitan,806000
Avondale Heights,4,h,Nelson,3,2,2,569,2008,Moonee Valley,Western Metropolitan,1155000
Avondale Heights,3,h,Nelson,3,1,2,570,1970,Moonee Valley,Western Metropolitan,680000
Avondale Heights,3,h,Moonee,3,1,1,550,1970,Moonee Valley,Western Metropolitan,627500
Avondale Heights,4,h,Moonee,4,3,3,761,1970,Moonee Valley,Western Metropolitan,950000
Avondale Heights,2,t,Barry,2,1,1,136,2012,Moonee Valley,Western Metropolitan,585000
Avondale Heights,2,u,Nelson,2,1,1,263,1999,Moonee Valley,Western Metropolitan,440000
Avondale Heights,3,h,Nelson,3,1,1,581,1960,Moonee Valley,Western Metropolitan,705000
Avondale Heights,4,h,Brad,4,3,2,873,1992,Moonee Valley,Western Metropolitan,1100000
Avondale Heights,3,h,Nelson,3,1,1,586,1965,Moonee Valley,Western Metropolitan,892500
Avondale Heights,2,h,Nelson,2,1,1,220,1995,Moonee Valley,Western Metropolitan,522500
Avondale Heights,4,h,Nelson,4,2,2,554,1960,Moonee Valley,Western Metropolitan,680000
Avondale Heights,3,u,Nelson,3,1,1,260,1990,Moonee Valley,Western Metropolitan,500000
Avondale Heights,2,t,Moonee,2,1,2,158,1993,Moonee Valley,Western Metropolitan,550000
Avondale Heights,3,h,Edward,3,1,3,812,1960,Moonee Valley,Western Metropolitan,875000
Avondale Heights,4,h,Nelson,4,2,2,589,1961,Moonee Valley,Western Metropolitan,762000
Avondale Heights,3,h,Nelson,3,2,2,593,1970,Moonee Valley,Western Metropolitan,805000
Avondale Heights,4,h,Moonee,4,2,4,585,1960,Moonee Valley,Western Metropolitan,890000
Avondale Heights,3,h,Nelson,4,2,1,582,1950,Moonee Valley,Western Metropolitan,634000
Avondale Heights,3,h,Moonee,3,1,1,590,1960,Moonee Valley,Western Metropolitan,642000
Balaclava,4,h,Gary,3,2,1,244,1900,Port Phillip,Southern Metropolitan,1819000
Balaclava,2,t,Gary,2,1,2,114,2000,Port Phillip,Southern Metropolitan,1015000
Balaclava,3,h,McGrath,3,1,1,178,1920,Port Phillip,Southern Metropolitan,1193000
Balaclava,2,h,Buxton,2,1,0,159,1930,Port Phillip,Southern Metropolitan,981000
Balaclava,3,h,McGrath,3,2,2,339,1890,Port Phillip,Southern Metropolitan,1690000
Balaclava,2,u,McGrath,2,1,1,483,1970,Port Phillip,Southern Metropolitan,540000
Balaclava,3,h,Buxton,3,1,1,157,1928,Port Phillip,Southern Metropolitan,1080000
Balwyn,2,h,Marshall,2,1,1,659,1920,Boroondara,Southern Metropolitan,2100000
Balwyn,4,h,Marshall,4,2,2,715,1985,Boroondara,Southern Metropolitan,1800000
Balwyn,2,t,Noel,2,1,1,208,2000,Boroondara,Southern Metropolitan,1255000
Balwyn,3,u,Philip,3,2,2,206,1998,Boroondara,Southern Metropolitan,1070000
Balwyn,5,h,RT,5,3,2,715,2009,Boroondara,Southern Metropolitan,2570000
Balwyn,4,h,RW,4,2,2,744,1985,Boroondara,Southern Metropolitan,2400000
Balwyn,2,u,Noel,2,1,1,122,1977,Boroondara,Southern Metropolitan,806000
Balwyn,6,h,Jellis,6,4,7,2051,1935,Boroondara,Southern Metropolitan,4000000
Balwyn,5,h,Noel,5,3,2,600,2006,Boroondara,Southern Metropolitan,2250000
Balwyn,3,h,Nelson,3,2,2,175,1976,Boroondara,Southern Metropolitan,1140000
Balwyn,5,h,Marshall,5,3,2,678,2001,Boroondara,Southern Metropolitan,2800000
Balwyn,2,h,Fletchers,3,1,1,1015,1930,Boroondara,Southern Metropolitan,1850000
Balwyn,2,u,Noel,3,1,1,209,1975,Boroondara,Southern Metropolitan,805000
Balwyn,3,h,Marshall,3,1,1,188,1970,Boroondara,Southern Metropolitan,700000
Balwyn,3,h,Jellis,3,2,2,699,1985,Boroondara,Southern Metropolitan,2125000
Balwyn,4,h,Jellis,3,2,2,577,1948,Boroondara,Southern Metropolitan,1800000
Balwyn,3,h,Kay,3,1,2,281,1995,Boroondara,Southern Metropolitan,905000
Balwyn,4,h,Ascend,4,3,2,453,2016,Boroondara,Southern Metropolitan,1750000
Balwyn,2,t,Christopher,2,1,1,121,1960,Boroondara,Southern Metropolitan,760000
Balwyn,3,t,Jellis,3,2,2,219,2003,Boroondara,Southern Metropolitan,1367000
Balwyn,5,h,Marshall,5,3,2,642,1930,Boroondara,Southern Metropolitan,2550000
Balwyn,4,t,Noel,4,3,2,241,2009,Boroondara,Southern Metropolitan,1400000
